City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,295.02,84,9,3.61,US,1715166052
1,grytviken,-54.2811,-36.5092,270.76,78,24,4.26,GS,1715166054
2,fale old settlement,-9.3852,-171.2468,302.58,71,100,3.81,TK,1715166276
3,trail,49.0998,-117.7022,279.8,69,100,1.52,CA,1715166378
4,abingdon,51.6711,-1.2828,293.25,59,20,2.57,GB,1715166191
5,hawaiian paradise park,19.5933,-154.9731,293.72,95,23,0.45,US,1715166074
6,bissau,11.8636,-15.5977,303.21,62,0,1.54,GW,1715166380
7,waitangi,-43.9535,-176.5597,281.94,86,98,0.45,NZ,1715166074
8,meadow lakes,61.6247,-149.6011,276.69,75,0,0.0,US,1715166382
9,ushuaia,-54.8,-68.3,272.96,80,0,2.06,AR,1715166040
10,adamstown,-25.066,-130.1015,295.04,78,100,3.3,PN,1715166022
11,sao joao da barra,-21.6403,-41.0511,299.2,85,1,4.51,BR,1715166384
12,puerto natales,-51.7236,-72.4875,272.48,89,100,1.36,CL,1715166023
13,port-aux-francais,-49.35,70.2167,277.94,77,60,12.76,TF,1715166016
14,wailua homesteads,22.0669,-159.378,295.59,83,75,5.14,US,1715165952
15,sitka,57.0531,-135.33,281.09,76,100,5.14,US,1715166197
16,mananara,-16.1667,49.7667,298.83,77,11,4.9,MG,1715166387
17,longyearbyen,78.2186,15.6401,275.06,64,75,7.2,SJ,1715166388
18,el jadid,33.2549,-8.506,293.49,74,49,4.67,MA,1715166388
19,vanimo,-2.6741,141.3028,299.04,91,100,1.64,PG,1715166389
20,kruisfontein,-34.0033,24.7314,291.97,48,99,3.72,ZA,1715166390
21,waingapu,-9.6567,120.2641,299.24,81,5,4.89,ID,1715166390
22,papatowai,-46.5619,169.4708,278.46,76,84,2.25,NZ,1715166391
23,edinburgh of the seven seas,-37.0676,-12.3116,287.26,72,100,8.18,SH,1715166028
24,carnarvon,-24.8667,113.6333,296.13,51,3,3.62,AU,1715166040
25,korla,41.7597,86.1469,305.56,10,1,6.88,CN,1715166393
26,aykhal,66.0,111.5,270.78,94,100,7.81,RU,1715166394
27,hasaki,35.7333,140.8333,289.37,79,100,12.16,JP,1715166394
28,codrington,-38.2667,141.9667,285.17,93,24,1.86,AU,1715166232
29,west island,-12.1568,96.8225,301.14,83,75,4.63,CC,1715166189
30,shimoda,34.6667,138.95,289.87,85,100,6.04,JP,1715166397
31,debre mark'os,10.35,37.7333,297.17,33,61,1.76,ET,1715166398
32,vorgashor,67.5833,63.95,269.15,78,8,2.99,RU,1715166077
33,utrik,11.2278,169.8474,300.41,81,100,9.35,MH,1715166133
34,avarua,-21.2078,-159.775,300.18,94,75,5.14,CK,1715166085
35,enewetak,11.3474,162.3373,300.69,82,82,9.47,MH,1715166046
36,puerto ayora,-0.7393,-90.3518,296.79,99,100,1.34,EC,1715166030
37,isla mujeres,21.2311,-86.731,301.18,86,58,5.97,MX,1715166402
38,palikir - national government center,6.9248,158.1611,299.56,89,100,4.12,FM,1715166403
39,vila franca do campo,37.7167,-25.4333,291.42,99,87,3.92,PT,1715166404
40,shingu,33.7333,135.9833,287.83,71,82,3.37,JP,1715166404
41,priargunsk,50.3691,119.1012,288.57,17,13,6.1,RU,1715166405
42,tarauaca,-8.1614,-70.7656,295.87,100,100,0.73,BR,1715166406
43,shakhtersk,48.0625,38.5167,287.53,36,69,6.19,UA,1715166407
44,vadso,70.0744,29.7487,275.24,55,20,3.09,NO,1715166407
45,kailua-kona,19.6406,-155.9956,298.13,88,100,3.09,US,1715166408
46,ribeira grande,38.5167,-28.7,292.47,77,40,6.69,PT,1715166097
47,port saint john's,-31.6229,29.5448,297.19,68,82,4.9,ZA,1715166409
48,chonchi,-42.6128,-73.8092,279.33,98,100,1.75,CL,1715166410
49,guaruja,-23.9931,-46.2564,299.52,65,30,2.76,BR,1715166411
50,laguna,38.421,-121.4238,288.32,48,0,8.23,US,1715166412
51,nar'yan-mar,67.6713,53.087,268.21,88,100,7.15,RU,1715166209
52,cabo san lucas,22.8909,-109.9124,295.71,55,100,6.65,MX,1715166028
53,saldanha,-33.0117,17.9442,289.68,72,0,5.45,ZA,1715166414
54,fortuna,40.5982,-124.1573,281.66,97,100,0.0,US,1715166128
55,iqaluit,63.7506,-68.5145,268.0,85,75,6.71,CA,1715166160
56,bikin,46.8161,134.26,285.55,50,5,1.9,RU,1715166416
57,motueka,-41.1333,173.0167,280.98,94,40,2.34,NZ,1715166417
58,jamestown,42.097,-79.2353,291.22,88,75,6.17,US,1715166418
59,whangarei,-35.7317,174.3239,281.07,88,2,1.48,NZ,1715166418
60,taza,34.25,-3.75,296.54,32,100,5.75,MA,1715166419
61,college,64.8569,-147.8028,280.14,84,100,1.54,US,1715166001
