City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,267.43,79,75,2.0,RU,1715332491
1,bethel,41.3712,-73.414,282.68,85,100,0.45,US,1715332569
2,namibe,-15.1961,12.1522,297.97,67,72,2.14,AO,1715332570
3,oxford,51.7522,-1.256,293.42,66,0,1.03,GB,1715332369
4,utrik,11.2278,169.8474,300.34,84,92,8.77,MH,1715332571
5,bredasdorp,-34.5322,20.0403,293.72,42,2,6.77,ZA,1715332449
6,tiksi,71.6872,128.8694,272.03,91,100,3.53,RU,1715332431
7,qaqortoq,60.7167,-46.0333,274.31,74,99,0.83,GL,1715332573
8,vila velha,-20.3297,-40.2925,297.12,94,75,1.03,BR,1715332575
9,miles city,46.4083,-105.8406,279.69,87,0,4.12,US,1715332566
10,geraldton,-28.7667,114.6,299.38,61,40,6.17,AU,1715332576
11,buta,2.7858,24.73,300.43,69,98,0.75,CD,1715332577
12,waitangi,-43.9535,-176.5597,281.94,88,100,1.34,NZ,1715332408
13,sao pedro do sul,-29.6206,-54.1789,286.23,91,100,2.21,BR,1715332578
14,pitimbu,-7.4706,-34.8086,297.48,80,54,4.77,BR,1715332579
15,morehead,37.2711,-87.1764,287.47,99,40,0.0,US,1715332580
16,sitka,57.0531,-135.33,280.09,81,100,3.09,US,1715332580
17,port mathurin,-19.6833,63.4167,298.19,78,100,11.52,MU,1715332581
18,haiku-pauwela,20.9219,-156.3051,295.4,89,0,1.34,US,1715332541
19,iqaluit,63.7506,-68.5145,270.0,86,100,0.0,CA,1715332409
20,nazyvayevsk,55.5698,71.3529,286.89,42,15,5.31,RU,1715332583
21,grytviken,-54.2811,-36.5092,273.21,89,100,1.28,GS,1715332407
22,nova vicosa,-17.8919,-39.3719,297.89,88,27,2.71,BR,1715332459
23,hermanus,-34.4187,19.2345,293.6,70,71,8.63,ZA,1715332585
24,invercargill,-46.4,168.35,281.49,81,100,1.75,NZ,1715332585
25,adolfo lopez mateos,28.4667,-107.3,281.73,23,100,1.46,MX,1715332586
26,port-aux-francais,-49.35,70.2167,280.79,87,100,20.91,TF,1715332587
27,timbuktu,16.7735,-3.0074,311.09,4,5,4.96,ML,1715332588
28,bilibino,68.0546,166.4372,272.55,98,100,0.83,RU,1715332446
29,santa marta,11.2408,-74.199,300.18,78,0,1.54,CO,1715332589
30,blackmans bay,-43.0167,147.3167,286.22,92,72,1.39,AU,1715332398
31,saint-joseph,-21.3667,55.6167,300.36,65,18,7.07,RE,1715332590
32,baotou,40.6522,109.8222,289.51,11,100,10.03,CN,1715332591
33,khorugh,37.4897,71.553,287.57,36,100,1.29,TJ,1715332592
34,talnakh,69.4865,88.3972,267.71,76,5,1.18,RU,1715332412
35,cruzeiro do sul,-29.5128,-51.9853,287.88,88,100,0.96,BR,1715332593
36,hawaiian paradise park,19.5933,-154.9731,295.39,98,100,2.57,US,1715332392
37,huancavelica,-12.7667,-74.9833,274.86,90,77,0.08,PE,1715332595
38,albany,42.6001,-73.9662,284.12,88,100,1.8,US,1715332415
39,wailua homesteads,22.0669,-159.378,295.59,87,75,5.14,US,1715332596
40,puerto natales,-51.7236,-72.4875,269.89,96,39,1.02,CL,1715332396
41,edinburgh of the seven seas,-37.0676,-12.3116,288.64,90,100,12.0,SH,1715332598
